Grade,Name,Category,SubCategory,Group,Density (g/cm³),Melting Point (°C),Thermal Conductivity (W/m·K),Tensile Strength (MPa),Yield Strength (MPa),Elongation (%),Hardness,Machinability,Weldability,Cost Tier,Cost Index
55CrSi,硅铬弹簧钢,metal,ferrous,alloy_steel,7.85,1480,38,1570,1370,5,HRC50-55,fair,poor,2,2.5
5A06,防锈铝合金,metal,non_ferrous,aluminum,2.64,640,117,315,155,10,HB73,good,excellent,2,2.2
5Cr21Mn9Ni4N,奥氏体耐热钢,metal,ferrous,valve_steel,7.88,1400,15,830,540,15,HB250-320,poor,fair,4,15.0
6061,铝镁硅合金,metal,non_ferrous,aluminum,2.7,580,167,310,276,12,HB95,excellent,good,2,2.8
6063,建筑铝合金,metal,non_ferrous,aluminum,2.69,615,200,205,170,12,HB73,excellent,good,2,2.2
60Si2CrA,硅铬弹簧钢,metal,ferrous,spring_steel,7.85,1475,32,1570,1370,6,HRC46-54,fair,poor,2,2.5
60Si2Mn,硅锰弹簧钢,metal,ferrous,spring_steel,7.85,1470,30,1470,1274,5,HRC44-52,fair,poor,2,2.0
631,沉淀硬化不锈钢,metal,ferrous,stainless_steel,7.8,1400,16.4,1310,1170,6,HRC44-48,poor,fair,3,8.0
65Mn,锰钢弹簧钢,metal,ferrous,alloy_steel,7.85,1470,44,980,785,8,HRC42-50,fair,poor,2,1.6
7075,超硬铝合金,metal,non_ferrous,aluminum,2.81,475,130,572,503,11,HB150,good,poor,2,4.0
7A04,超高强铝合金,metal,non_ferrous,aluminum,2.82,630,150,560,490,6,HB150,good,poor,3,5.0
904L,超级奥氏体不锈钢,metal,ferrous,stainless_steel,8.0,1350,12.5,490,220,35,HB150-180,fair,good,4,15.0
9Cr18,高碳马氏体不锈钢,metal,ferrous,tool_steel,7.75,1480,24.2,760,450,2,HRC56-60,fair,poor,3,5.0
9Ni钢,9%镍钢,metal,ferrous,alloy_steel,7.85,1480,26,690,585,20,HB190-230,fair,fair,4,15.0
A-286,铁镍基高温合金,metal,non_ferrous,corrosion_resistant,7.94,1400,13,965,620,15,HRC28-35,fair,good,4,30.0
A356,铸造铝硅合金,metal,non_ferrous,aluminum,2.68,615,151,230,165,3,HB75-90,good,good,2,3.0
ADC12,压铸铝合金,metal,non_ferrous,aluminum,2.74,580,92,310,150,1,HB80-95,good,poor,2,2.8
AM60B,铸造镁铝锰合金,metal,non_ferrous,cast_magnesium,1.8,615,62,220,130,8.0,HB55-70,excellent,good,2,4.5
AZ31B,变形镁合金,metal,non_ferrous,magnesium,1.77,630,96,260,200,15,HB49,excellent,good,2,3.0
AZ63,铸造镁铝锌合金,metal,non_ferrous,cast_magnesium,1.84,600,83,275,130,8,HB55-70,excellent,good,3,5.5
AZ91D,压铸镁合金,metal,non_ferrous,magnesium,1.81,595,72,230,160,3,HB63,excellent,fair,2,2.5
AgCdO,银氧化镉,metal,non_ferrous,electrical_contact,10.3,960,360,,,,HV70-90,good,poor,4,40.0
AgSnO2,银氧化锡,metal,non_ferrous,electrical_contact,10.1,961,340,,,,HV80-100,good,poor,4,45.0
Al2O3-99,99氧化铝陶瓷,non_metal,alumina_ceramic,structural_ceramic,3.9,2050,30,300,300,,HV1800-2000,very_poor,none,3,15.0
Al2O3-TBC,氧化铝热障涂层,non_metal,ceramic,thermal_barrier,3.95,2072,30,300,300,0.5,HV2000,very_poor,none,3,25.0
AlSi10Mg-AM,3D打印铝合金,metal,non_ferrous,additive_manufacturing,2.67,570,130,450,270,6,HB120,good,fair,4,60.0
Alnico,铝镍钴永磁,metal,non_ferrous,permanent_magnet,7.3,1350,10,40,,0.5,HRC45,poor,poor,3,30.0
Alumel,镍铝合金,metal,non_ferrous,thermocouple_alloy,8.6,1400,30,600,280,25,HB160,fair,good,3,18.0
B27R090,取向硅钢,metal,ferrous,electrical_steel,7.65,1500,15,360,280,8,HV140-170,good,fair,3,6.0
B35A230,高效无取向硅钢,metal,ferrous,electrical_steel,7.6,1500,18,480,340,20,HV160-190,good,good,3,4.5
B4C,碳化硼,non_metal,ceramic,nuclear_material,2.52,2450,30,350,350,0.5,HV3000,very_poor,poor,4,60.0
B50A600,无取向硅钢,metal,ferrous,electrical_steel,7.65,1500,20,450,300,25,HV150-180,good,good,2,2.5
BAg-5,银钎料,metal,non_ferrous,brazing_alloy,9.3,690,72,350,200,25,HB90,good,excellent,4,35.0
BCu-1,纯铜钎料,metal,non_ferrous,brazing_alloy,8.94,1083,391,220,70,35,HB45,excellent,good,2,6.0
BNi-2,镍基钎料,metal,non_ferrous,brazing_alloy,7.9,1000,15,450,280,3,HRC35,fair,good,3,20.0
C22,哈氏合金C-22,metal,ferrous,corrosion_resistant,8.69,1357,10.1,690,310,55,HB200,poor,good,5,75.0
C276,哈氏合金C-276,metal,ferrous,corrosion_resistant,8.89,1370,10.2,690,310,60,HB200,poor,good,5,80.0
CBN,立方氮化硼,non_metal,ceramic,hard_alloy,3.48,3000,740,700,700,0.5,HK4500,none,none,5,500.0
CFRP,碳纤维增强塑料,composite,assembly,composite,1.55,300,5,1500,,0.5,N/A,fair,N/A,5,80.0
Chromel,镍铬合金,metal,non_ferrous,thermocouple_alloy,8.5,1400,19,650,300,20,HB170,fair,good,3,20.0
CoCrMo,钴铬钼合金,metal,non_ferrous,medical_alloy,8.3,1350,14.8,900,600,8,HRC35,poor,fair,4,55.0
Constantan,康铜,metal,non_ferrous,thermocouple_alloy,8.9,1260,22,500,200,45,HB130,good,good,3,15.0
Copper-Mesh,铜网屏蔽材料,metal,non_ferrous,em_shielding,8.9,1083,391,300,150,30,HB60,excellent,excellent,3,20.0
Cr12MoV,冷作模具钢,metal,ferrous,tool_steel,7.85,1420,20,,,,HRC58-62,poor,poor,3,6.0
Cr20Ni80,镍铬电热合金,metal,non_ferrous,resistance_alloy,8.4,1400,14,650,300,20,HB200,fair,good,3,15.0
Cr26,高铬铸铁,metal,ferrous,wear_resistant_iron,7.5,1350,15,500,,0.5,HRC60-68,poor,poor,3,5.0
Cu65,紫铜,metal,non_ferrous,copper,8.9,1083,391,220,70,35,HB35-45,fair,excellent,3,7.0
CuAlNi,铜铝镍记忆合金,metal,non_ferrous,shape_memory_alloy,7.2,1050,75,600,180,4,HB200,fair,fair,3,18.0
CuNi10Fe1Mn,白铜,metal,non_ferrous,copper,8.9,1150,45,350,140,15,HB70-100,good,good,3,10.0
CuNi2Si,镍硅铜,metal,non_ferrous,beryllium_copper,8.8,1080,190,700,600,12,HV200-250,good,good,3,12.0
CuPb24Sn4,铜铅合金轴承,metal,non_ferrous,bearing_alloy,9.7,950,42,180,100,8,HB45,good,fair,2,8.0
CuW,钨铜合金,metal,non_ferrous,electrical_contact,14.5,1083,180,500,350,2,HB200,fair,poor,4,50.0
CuW70,铜钨合金,metal,non_ferrous,electrical_contact,14.0,1083,180,,,,HB200-250,fair,poor,4,35.0
CuZnAl,铜锌铝记忆合金,metal,non_ferrous,shape_memory_alloy,7.8,950,120,500,150,5,HB180,fair,fair,3,15.0
D2,高碳高铬冷作模具钢,metal,ferrous,tool_steel,7.7,1420,20,1930,1650,2,HRC58-62,poor,poor,3,5.5
DC53,冷作模具钢,metal,ferrous,tool_steel,7.87,1420,22,,,400,HRC62-64,fair,poor,3,8.0
E7018,低氢焊条,metal,ferrous,welding_material,7.85,1500,50,490,400,22,HB150-180,N/A,excellent,1,1.2
EPDM,三元乙丙橡胶,non_metal,polymer,rubber,1.0,150,0.25,15,8,,,fair,,1,1.5
ER308L,不锈钢焊丝,metal,ferrous,welding_material,7.93,1400,15,550,350,35,HB160-190,N/A,excellent,2,4.0
ER316L,不锈钢焊丝,metal,ferrous,welding_material,7.98,1400,14,530,320,35,HB160-190,N/A,excellent,2,5.0
ER70S-6,碳钢焊丝,metal,ferrous,welding_material,7.85,1500,50,500,420,22,HB150-180,N/A,excellent,2,1.5
FC-0208,铁碳粉末冶金,metal,ferrous,powder_metallurgy,6.7,1450,25,280,200,1,HRB60-80,good,poor,2,2.0
FKM,氟橡胶,non_metal,polymer,rubber,1.85,200,0.2,15,8,250,Shore A75-90,fair,none,3,12.0
FN-0205,铁镍粉末冶金,metal,ferrous,powder_metallurgy,7.0,1450,20,380,280,2,HRB70-90,good,poor,2,3.0
Fe-Cu-C,铁铜碳粉末冶金材料,metal,ferrous,powder_metallurgy,6.6,1150,35,350,280,2,HRB60-80,good,poor,2,2.5
Fe-Ni-Cu,铁镍铜粉末冶金材料,metal,ferrous,powder_metallurgy,7.0,1200,32,550,400,3,HRB80-95,fair,poor,2,3.5
Fused-Silica,熔融石英,non_metal,glass,optical_material,2.2,1700,1.4,50,50,0.5,HV500,poor,poor,4,50.0
GCr15,高碳铬轴承钢,metal,ferrous,bearing_steel,7.81,1450,46.6,,,,HRC60-64,fair,poor,2,2.5
GCr15SiMn,高碳铬硅锰轴承钢,metal,ferrous,bearing_steel,7.8,1450,42,,,,HRC60-64,fair,poor,2,3.0
GCr18Mo,铬钼轴承钢,metal,ferrous,alloy_steel,7.83,1450,38,,,,HRC60-65,fair,poor,3,5.0
GCr4,渗碳轴承钢,metal,ferrous,bearing_steel,7.85,1460,42,980,785,10,表面HRC58-62，心部HRC30-45,good,fair,2,2.8
GFRP,玻璃纤维增强塑料,composite,assembly,composite,1.85,300,0.3,450,,2.5,N/A,good,N/A,3,8.0
GH2132,铁基高温合金,metal,ferrous,superalloy,7.94,1400,12.8,980,690,20,HRC28-35,fair,good,4,45.0
GH3030,镍基高温合金,metal,ferrous,corrosion_resistant,8.4,1370,11.7,735,275,40,HB150-200,fair,good,4,40.0
GH4099,镍基高温合金,metal,ferrous,corrosion_resistant,8.19,1330,10.7,1280,795,10,HRC38-44,poor,fair,5,85.0
GH4169,镍基高温合金,metal,ferrous,corrosion_resistant,8.19,1336,11.4,1240,1030,12,HRC38-44,poor,good,5,70.0
GaAs,砷化镓,non_metal,ceramic,semiconductor,5.32,1238,55,80,80,0.5,HK750,poor,none,5,300.0
Germanium,锗,non_metal,ceramic,optical_material,5.32,938,60,100,100,0.5,HK780,fair,none,5,350.0
Graphene-TIM,石墨烯导热材料,non_metal,ceramic,thermal_interface,2.1,3650,1500,130,130,1,柔性,good,none,4,80.0
Graphite-Battery,电池负极石墨,non_metal,ceramic,battery_material,2.25,3650,150,30,,0.5,HV10,good,none,3,8.0
H13,热作模具钢,metal,ferrous,tool_steel,7.8,1430,24.6,1960,1520,10,HRC48-52,fair,fair,3,5.5
H62,普通黄铜,metal,non_ferrous,copper,8.43,900,109,380,150,15,HB80-120,excellent,fair,2,5.0
H68,高精黄铜,metal,non_ferrous,copper,8.5,915,121,350,130,25,HB55-85,excellent,good,2,5.5
HAl77-2,铝黄铜,metal,non_ferrous,copper,8.4,920,100,440,180,10,HB80-120,good,fair,2,6.5
HPb59-1,铅黄铜,metal,non_ferrous,copper,8.5,900,109,400,160,10,HB80-110,excellent,fair,2,5.2
HSi80-3,硅黄铜,metal,non_ferrous,silicon_brass,8.3,950,38,480,200,25,HB100-140,good,good,2,6.0
HT200,灰铸铁,metal,ferrous,cast_iron,7.2,1200,48,200,,0.5,HB170-240,excellent,poor,1,0.8
HT250,灰铸铁,metal,ferrous,cast_iron,7.25,1200,46,250,,0.5,HB180-250,excellent,poor,1,0.9
HT300,高强度灰铸铁,metal,ferrous,cast_iron,7.3,1200,44,300,,0.5,HB200-280,good,poor,1,1.0
Hafnium,铪,metal,non_ferrous,nuclear_material,13.31,2233,23,450,250,25,HV175,fair,fair,5,800.0
Hardox450,悍达耐磨钢板,metal,ferrous,wear_resistant_steel,7.85,1475,36,1400,1200,10,HBW420-475,fair,good,3,6.5
HastelloyB3,哈氏合金B3,metal,ferrous,corrosion_resistant,9.22,1370,10,760,380,40,HB200,poor,good,5,90.0
HastelloyX,哈氏合金X,metal,non_ferrous,superalloy,8.22,1355,9.1,785,360,43,HB200,poor,excellent,5,100.0
Haynes230,镍铬钨钼高温合金,metal,non_ferrous,superalloy,8.97,1350,8.9,860,390,48,HB210,poor,excellent,5,120.0
IN718-AM,3D打印镍基高温合金,metal,non_ferrous,additive_manufacturing,8.19,1336,11.4,1380,1100,15,HRC45,poor,good,5,150.0
Incoloy825,因科洛伊825,metal,ferrous,corrosion_resistant,8.14,1370,11.1,690,310,30,HB120-200,fair,good,4,40.0
Inconel625,因科镍625,metal,ferrous,corrosion_resistant,8.44,1350,9.8,830,415,50,HB200,poor,excellent,5,60.0
Inconel718,因科镍718,metal,ferrous,corrosion_resistant,8.19,1336,11.4,1240,1030,20,HRC36-40,poor,good,5,70.0
Invar,因瓦合金,metal,non_ferrous,low_expansion_alloy,8.1,1430,13,500,280,35,HB160,fair,good,3,25.0
K403,镍基铸造高温合金,metal,non_ferrous,superalloy,8.52,1330,8.4,900,750,8,HRC35-42,poor,poor,5,120.0
K418,镍基铸造高温合金,metal,non_ferrous,superalloy,8.25,1290,8.9,980,820,5,HRC38-45,poor,poor,5,150.0
KTH300-06,黑心可锻铸铁,metal,ferrous,malleable_iron,7.3,1150,50,300,180,6,HB140-180,excellent,fair,1,1.3
KTZ450-06,珠光体可锻铸铁,metal,ferrous,malleable_iron,7.35,1150,45,450,270,6.0,HB180-230,good,fair,2,1.6
KTZ550-04,高强度珠光体可锻铸铁,metal,ferrous,malleable_iron,7.4,1150,42,550,340,4.0,HB220-280,fair,poor,2,2.0
Karma,卡玛合金,metal,non_ferrous,resistance_alloy,8.1,1350,13,700,350,3,HB220,fair,fair,4,40.0
Kovar,可伐合金,metal,non_ferrous,low_expansion_alloy,8.3,1450,17,520,300,25,HB170,fair,good,4,35.0
L605,钴基高温合金,metal,non_ferrous,superalloy,9.13,1380,9.4,1000,460,50,HB277,poor,good,5,150.0
LCP,液晶聚合物,non_metal,polymer,engineering_plastic,1.4,280,0.2,180,170,3,Shore D85,fair,fair,4,25.0
LY12,硬铝合金,metal,non_ferrous,aluminum,2.78,640,121,470,325,12,HB120,good,poor,2,2.0
LiFePO4,磷酸铁锂,non_metal,ceramic,battery_material,3.6,600,1.1,50,,0.5,HV300,fair,none,3,15.0
MCrAlY,金属粘结层,metal,non_ferrous,thermal_barrier,7.8,1350,10,800,600,5,HRC35,poor,fair,4,70.0
MP35N,钴镍钼钛合金,metal,non_ferrous,superalloy,8.43,1350,11.3,1795,1585,10,HRC50,poor,fair,5,200.0
Manganin,锰铜合金,metal,non_ferrous,resistance_alloy,8.4,1020,22,450,200,40,HB120,good,good,3,25.0
Mn13,高锰耐磨钢,metal,ferrous,alloy_steel,7.9,1350,14.5,830,350,45,HB200-250 (加工硬化后HRC50-55),poor,fair,2,2.5
Mo-1,纯钼,metal,non_ferrous,refractory_metal,10.2,2620,138,550,400,15,HV200-250,fair,poor,4,40.0
Monel400,蒙乃尔400,metal,ferrous,corrosion_resistant,8.8,1350,21.8,550,240,35,HB110-150,fair,good,4,35.0
MonelK500,蒙乃尔K500,metal,ferrous,corrosion_resistant,8.44,1350,17.5,1100,790,20,HRC28-35,poor,fair,4,45.0
Mu-Metal,坡莫合金,metal,non_ferrous,em_shielding,8.7,1450,20,550,150,35,HB150,good,fair,4,50.0
NAK80,预硬塑料模具钢,metal,ferrous,tool_steel,7.84,1460,30,1100,900,6,HRC37-43,excellent,good,3,7.0
NBR,丁腈橡胶,non_metal,polymer,rubber,1.0,120,0.25,20,10,450,Shore A60-80,fair,none,1,1.5
NM400,耐磨钢板,metal,ferrous,wear_resistant_steel,7.85,1480,38,1250,1000,10,HBW370-430,fair,fair,2,4.0
NM500,高硬度耐磨钢板,metal,ferrous,wear_resistant_steel,7.85,1470,35,1600,1300,8,HBW470-530,poor,fair,3,5.5
NMC,三元正极材料,non_metal,ceramic,battery_material,4.7,500,3.5,40,,0.5,HV250,fair,none,4,25.0
Nb3Sn,铌三锡超导体,metal,non_ferrous,superconductor,8.9,2130,3,200,,0.5,HV800,poor,poor,5,250.0
NbTi,铌钛超导合金,metal,non_ferrous,superconductor,6.5,1950,8,800,500,20,HV250,fair,fair,5,150.0
NdFeB,钕铁硼永磁,metal,non_ferrous,permanent_magnet,7.5,1150,9,80,,0.5,HV600,poor,poor,4,80.0
NiHard1,镍硬铸铁1型,metal,ferrous,wear_resistant_iron,7.6,1170,21,350,,0.5,HRC55-62,poor,poor,2,3.5
NiHard4,镍硬铸铁4型,metal,ferrous,wear_resistant_iron,7.7,1170,19,450,,0.5,HRC58-65,poor,poor,3,4.5
NiTi,镍钛记忆合金,metal,non_ferrous,shape_memory_alloy,6.45,1310,18,900,200,10,HRC40,poor,fair,5,150.0
Nitronic50,高氮奥氏体不锈钢,metal,ferrous,stainless_steel,7.88,1400,12.8,860,517,35,HB269,fair,good,3,10.0
O1,油淬冷作模具钢,metal,ferrous,tool_steel,7.85,1460,30,1800,1500,3,HRC58-62,good,poor,2,3.5
PA66,尼龙66,non_metal,polymer,engineering_plastic,1.14,260,0.25,80,75,,,good,fair,2,2.0
PC,聚碳酸酯,non_metal,polymer,engineering_plastic,1.2,267,0.2,65,60,,,good,fair,2,2.2
PEEK,聚醚醚酮,non_metal,polymer,engineering_plastic,1.3,343,0.25,100,90,,,good,poor,4,50.0
PEI,聚醚酰亚胺,non_metal,polymer,engineering_plastic,1.27,217,0.22,105,95,60,Rockwell M109,good,,4,25.0
PI,聚酰亚胺,non_metal,polymer,engineering_plastic,1.42,388,0.35,100,85,8,Rockwell E75,fair,,5,80.0
POM,聚甲醛,non_metal,polymer,engineering_plastic,1.41,175,0.31,70,65,,,excellent,poor,2,2.5
PPS,聚苯硫醚,non_metal,polymer,engineering_plastic,1.35,280,0.3,85,75,2,Rockwell R123,good,,3,8.0
PSU,聚砜,non_metal,polymer,engineering_plastic,1.24,185,0.26,75,70,50,Rockwell M69,good,,3,12.0
PTFE,聚四氟乙烯,non_metal,polymer,fluoropolymer,2.2,327,0.25,25,12,,,good,poor,2,3.0
PVDF,聚偏氟乙烯,non_metal,polymer,fluoropolymer,1.78,170,0.19,50,45,50,Shore D75,good,good,3,15.0
Permalloy,铁镍软磁合金,metal,non_ferrous,em_shielding,8.25,1450,15,500,120,40,HB130,good,fair,3,35.0
Q235B,普通碳素结构钢,metal,ferrous,carbon_steel,7.85,1500,50,370,235,26,HB120-140,good,excellent,1,1.0
Q345R,压力容器用钢,metal,ferrous,carbon_steel,7.85,1500,48,510,345,21,HB150-180,good,good,1,1.2
Q460,高强度结构钢,metal,ferrous,carbon_steel,7.85,1500,45,550,460,17,HB160-200,good,good,1,1.5
Q550,高强度结构钢,metal,ferrous,alloy_steel,7.85,1490,42,670,550,14,HB180-220,fair,fair,2,2.0
Q690,超高强度结构钢,metal,ferrous,alloy_steel,7.85,1480,40,770,690,12,HB230-280,fair,fair,2,2.5
QAl10-3-1.5,铝青铜,metal,non_ferrous,copper,7.5,1050,50,700,350,10,HB180-230,fair,fair,3,9.0
QAl10-4-4,铝镍铁青铜,metal,non_ferrous,aluminum_bronze,7.5,1060,42,700,320,8,HB180-220,fair,fair,3,8.0
QAl9-4,铝青铜,metal,non_ferrous,aluminum_bronze,7.6,1040,59,600,250,0.5,HB150-180,fair,fair,2,5.0
QBe1.9,低铍铜,metal,non_ferrous,beryllium_copper,8.3,870,106,1000,850,4,HRC32-38,good,fair,4,22.0
QBe2,铍青铜,metal,non_ferrous,beryllium_copper,8.3,870,115,1250,1100,0.5,HRC38-42,good,fair,4,25.0
QSn4-0.3,低锡磷青铜,metal,non_ferrous,tin_bronze,8.9,1040,72,450,350,10,HB90-130,good,good,2,7.0
QSn4-3,锡青铜,metal,non_ferrous,copper,8.8,1000,62,350,200,15,HB70-90,good,fair,3,7.5
QSn6.5-0.1,磷青铜,metal,non_ferrous,copper,8.8,1000,62,550,450,3,HB100-150,good,fair,3,8.5
QSn7-0.2,高锡磷青铜,metal,non_ferrous,tin_bronze,8.8,1000,50,700,600,3,HB150-200,good,fair,3,9.0
QT400,球墨铸铁,metal,ferrous,cast_iron,7.1,1150,36,400,250,15,HB130-180,good,fair,1,1.0
QT500-7,球墨铸铁,metal,ferrous,cast_iron,7.1,1150,34,500,320,7,HB170-230,good,fair,1,1.2
QT600-3,高强度球墨铸铁,metal,ferrous,cast_iron,7.1,1150,32,600,370,3,HB190-270,good,fair,1,1.4
