file_name,label_cn,label_confidence,match_type,extracted_name
J0225047-04罐体部分v1.dxf,罐体部分,0.950,exact,罐体部分
J0225047-04罐体部分v2.dxf,罐体部分,0.950,exact,罐体部分
J0225047-04罐体部分v3.dxf,罐体部分,0.950,exact,罐体部分
J0225048-02-07侧推料组件v1.dxf,侧推料组件,0.950,exact,侧推料组件
J0225048-02-07侧推料组件v2.dxf,侧推料组件,0.950,exact,侧推料组件
J0225054-15-01支承座v1.dxf,支承座,0.950,exact,支承座
J0225054-15-01支承座v2.dxf,支承座,0.950,exact,支承座
J0225054-15罐体支腿v1.dxf,罐体支腿,0.950,exact,罐体支腿
J0225054-15罐体支腿v2.dxf,罐体支腿,0.950,exact,罐体支腿
J0525002-04-02过滤托架v1.dxf,过滤托架,0.950,exact,过滤托架
J0525002-04-02过滤托架v2.dxf,过滤托架,0.950,exact,过滤托架
J0525002-04-02过滤托架v3.dxf,过滤托架,0.950,exact,过滤托架
J0525002-04-02过滤托架v4.dxf,过滤托架,0.950,exact,过滤托架
J0724006-01下锥体组件v1.dxf,下锥体组件,0.950,exact,下锥体组件
J0724006-01下锥体组件v2.dxf,下锥体组件,0.950,exact,下锥体组件
J0724006-01下锥体组件v3.dxf,下锥体组件,0.950,exact,下锥体组件
J0724006-02搅拌器组件v1.dxf,搅拌器组件,0.950,exact,搅拌器组件
J0724006-02搅拌器组件v2.dxf,搅拌器组件,0.950,exact,搅拌器组件
J0724006-05上封头组件v1.dxf,上封头组件,0.950,exact,上封头组件
J0724006-05上封头组件v2.dxf,上封头组件,0.950,exact,上封头组件
J0724006-05上封头组件v3.dxf,上封头组件,0.950,exact,上封头组件
J1424042-00出料正压隔离器v1.dxf,出料正压隔离器,0.950,exact,出料正压隔离器
J1424042-51-01-08对接法兰v1.dxf,对接法兰,0.950,exact,对接法兰
J1424042-51-01-08对接法兰v2.dxf,对接法兰,0.950,exact,对接法兰
J2824002-06上封头组件v1.dxf,上封头组件,0.950,exact,上封头组件
J2824002-06上封头组件v2.dxf,上封头组件,0.950,exact,上封头组件
J2825002-06上筒体组件v1.dxf,上筒体组件,0.950,exact,上筒体组件
J2825002-06上筒体组件v2.dxf,上筒体组件,0.950,exact,上筒体组件
J2825002-06上筒体组件v3.dxf,上筒体组件,0.950,exact,上筒体组件
J2825002-09下轴承支架组件v1.dxf,下轴承支架组件,0.950,exact,下轴承支架组件
J2825002-09下轴承支架组件v2.dxf,下轴承支架组件,0.950,exact,下轴承支架组件
J2825003-05下筒体组件v1.dxf,下筒体组件,0.950,exact,下筒体组件
J2825003-05下筒体组件v2.dxf,下筒体组件,0.950,exact,下筒体组件
J2925001-00再沸器v1.dxf,再沸器,0.950,exact,再沸器
J2925001-00再沸器v2.dxf,再沸器,0.950,exact,再沸器
J2925001-00再沸器v3.dxf,再沸器,0.950,exact,再沸器
J2925001-01-01人孔法兰v1.dxf,人孔法兰,0.950,exact,人孔法兰
J2925001-01-01人孔法兰v2.dxf,人孔法兰,0.950,exact,人孔法兰
J2925001-01人孔v1.dxf,人孔,0.950,exact,人孔
J2925001-01人孔v2.dxf,人孔,0.950,exact,人孔
J2925001-05管束v1.dxf,管束,0.950,exact,管束
J2925001-05管束v2.dxf,管束,0.950,exact,管束
J2925004-04-01底板v1.dxf,底板,0.950,exact,底板
J2925004-04-01底板v2.dxf,底板,0.950,exact,底板
J3025001-12轴承座v1.dxf,轴承座,0.950,exact,轴承座
J3025001-12轴承座v2.dxf,轴承座,0.950,exact,轴承座
LTJ012303106-0001超声波法兰.dxf,超声波法兰,0.950,exact,超声波法兰
LTJ012303106-0001超声波法兰v1.dxf,超声波法兰,0.950,exact,超声波法兰
LTJ012303106-0001超声波法兰v2.dxf,超声波法兰,0.950,exact,超声波法兰
LTJ012303106-0030连接法兰(大)v1.dxf,连接法兰(大),0.950,exact,连接法兰(大)
LTJ012303106-0030连接法兰(大)v2.dxf,连接法兰(大),0.950,exact,连接法兰(大)
LTJ012306102-0084调节螺栓v1.dxf,调节螺栓,0.950,exact,调节螺栓
LTJ012306102-0084调节螺栓v2.dxf,调节螺栓,0.950,exact,调节螺栓
比较_LTJ012306102-0084调节螺栓v1 vs LTJ012306102-0084调节螺栓v2.dxf,调节螺栓,0.950,exact,调节螺栓
