file_name,stem,label_cn,version,part_code,is_comparison,relative_path,source_dir
轴的标注.dwg,轴的标注,轴的标注,,,0,CAD机械零件图及高阶练习图纸/CAD机械零件图/轴的标注.dwg,机械CAD图纸
1-1泵盖图.dwg,1-1泵盖图,泵盖图,,1-1,0,CAD机械零件图纸127个/1/1-1泵盖图.dwg,机械CAD图纸
1-3底座视图.dwg,1-3底座视图,底座视图,,1-3,0,CAD机械零件图纸127个/1/1-3底座视图.dwg,机械CAD图纸
1-6机械平面图1.dwg,1-6机械平面图1,机械平面图,,1-6,0,CAD机械零件图纸127个/1/1-6机械平面图1.dwg,机械CAD图纸
1-7机械平面图2.dwg,1-7机械平面图2,机械平面图,,1-7,0,CAD机械零件图纸127个/1/1-7机械平面图2.dwg,机械CAD图纸
1-8机械平面图3.dwg,1-8机械平面图3,机械平面图,,1-8,0,CAD机械零件图纸127个/1/1-8机械平面图3.dwg,机械CAD图纸
1-9机械平面图4.dwg,1-9机械平面图4,机械平面图,,1-9,0,CAD机械零件图纸127个/1/1-9机械平面图4.dwg,机械CAD图纸
机械制图49.dwg,机械制图49,机械制图,,,0,CAD机械零件图纸127个/10/机械制图49.dwg,机械CAD图纸
机械制图50.dwg,机械制图50,机械制图,,,0,CAD机械零件图纸127个/10/机械制图50.dwg,机械CAD图纸
机械制图51.dwg,机械制图51,机械制图,,,0,CAD机械零件图纸127个/10/机械制图51.dwg,机械CAD图纸
机械制图52.dwg,机械制图52,机械制图,,,0,CAD机械零件图纸127个/10/机械制图52.dwg,机械CAD图纸
机械制图53.dwg,机械制图53,机械制图,,,0,CAD机械零件图纸127个/10/机械制图53.dwg,机械CAD图纸
机械制图54.dwg,机械制图54,机械制图,,,0,CAD机械零件图纸127个/10/机械制图54.dwg,机械CAD图纸
机械制图55.dwg,机械制图55,机械制图,,,0,CAD机械零件图纸127个/10/机械制图55.dwg,机械CAD图纸
机械制图56.dwg,机械制图56,机械制图,,,0,CAD机械零件图纸127个/11/机械制图56.dwg,机械CAD图纸
机械制图57.dwg,机械制图57,机械制图,,,0,CAD机械零件图纸127个/11/机械制图57.dwg,机械CAD图纸
机械制图58.dwg,机械制图58,机械制图,,,0,CAD机械零件图纸127个/11/机械制图58.dwg,机械CAD图纸
机械制图59.dwg,机械制图59,机械制图,,,0,CAD机械零件图纸127个/11/机械制图59.dwg,机械CAD图纸
机械制图60.dwg,机械制图60,机械制图,,,0,CAD机械零件图纸127个/11/机械制图60.dwg,机械CAD图纸
机械制图61.dwg,机械制图61,机械制图,,,0,CAD机械零件图纸127个/11/机械制图61.dwg,机械CAD图纸
机械制图62.dwg,机械制图62,机械制图,,,0,CAD机械零件图纸127个/11/机械制图62.dwg,机械CAD图纸
机械制图69.dwg,机械制图69,机械制图,,,0,CAD机械零件图纸127个/13/机械制图69.dwg,机械CAD图纸
机械制图70.dwg,机械制图70,机械制图,,,0,CAD机械零件图纸127个/13/机械制图70.dwg,机械CAD图纸
机械制图71.dwg,机械制图71,机械制图,,,0,CAD机械零件图纸127个/13/机械制图71.dwg,机械CAD图纸
机械制图72.dwg,机械制图72,机械制图,,,0,CAD机械零件图纸127个/13/机械制图72.dwg,机械CAD图纸
机械制图73.dwg,机械制图73,机械制图,,,0,CAD机械零件图纸127个/13/机械制图73.dwg,机械CAD图纸
机械制图74.dwg,机械制图74,机械制图,,,0,CAD机械零件图纸127个/13/机械制图74.dwg,机械CAD图纸
机械制图75.dwg,机械制图75,机械制图,,,0,CAD机械零件图纸127个/13/机械制图75.dwg,机械CAD图纸
三视图.dwg,三视图,三视图,,,0,CAD机械零件图纸127个/14/三视图.dwg,机械CAD图纸
三视图1.dwg,三视图1,三视图,,,0,CAD机械零件图纸127个/14/三视图1.dwg,机械CAD图纸
三视图2.dwg,三视图2,三视图,,,0,CAD机械零件图纸127个/14/三视图2.dwg,机械CAD图纸
三视图练习.dwg,三视图练习,三视图练习,,,0,CAD机械零件图纸127个/14/三视图练习.dwg,机械CAD图纸
机械制图76.dwg,机械制图76,机械制图,,,0,CAD机械零件图纸127个/14/机械制图76.dwg,机械CAD图纸
机械制图77.dwg,机械制图77,机械制图,,,0,CAD机械零件图纸127个/14/机械制图77.dwg,机械CAD图纸
三视图练习1.dwg,三视图练习1,三视图练习,,,0,CAD机械零件图纸127个/15/三视图练习1.dwg,机械CAD图纸
2-10机械制图.dwg,2-10机械制图,机械制图,,2-10,0,CAD机械零件图纸127个/2/2-10机械制图.dwg,机械CAD图纸
2-1机械平面图.dwg,2-1机械平面图,机械平面图,,2-1,0,CAD机械零件图纸127个/2/2-1机械平面图.dwg,机械CAD图纸
2-2机械平面图.dwg,2-2机械平面图,机械平面图,,2-2,0,CAD机械零件图纸127个/2/2-2机械平面图.dwg,机械CAD图纸
2-3机械平面图.dwg,2-3机械平面图,机械平面图,,2-3,0,CAD机械零件图纸127个/2/2-3机械平面图.dwg,机械CAD图纸
2-4机械平面图.dwg,2-4机械平面图,机械平面图,,2-4,0,CAD机械零件图纸127个/2/2-4机械平面图.dwg,机械CAD图纸
2-5机械平面图.dwg,2-5机械平面图,机械平面图,,2-5,0,CAD机械零件图纸127个/2/2-5机械平面图.dwg,机械CAD图纸
2-6机械制图.dwg,2-6机械制图,机械制图,,2-6,0,CAD机械零件图纸127个/2/2-6机械制图.dwg,机械CAD图纸
2-7机械制图.dwg,2-7机械制图,机械制图,,2-7,0,CAD机械零件图纸127个/2/2-7机械制图.dwg,机械CAD图纸
2-8机械制图.dwg,2-8机械制图,机械制图,,2-8,0,CAD机械零件图纸127个/2/2-8机械制图.dwg,机械CAD图纸
2-9机械制图.dwg,2-9机械制图,机械制图,,2-9,0,CAD机械零件图纸127个/2/2-9机械制图.dwg,机械CAD图纸
机械制图10.dwg,机械制图10,机械制图,,,0,CAD机械零件图纸127个/3/机械制图10.dwg,机械CAD图纸
机械制图11.dwg,机械制图11,机械制图,,,0,CAD机械零件图纸127个/3/机械制图11.dwg,机械CAD图纸
机械制图12.dwg,机械制图12,机械制图,,,0,CAD机械零件图纸127个/3/机械制图12.dwg,机械CAD图纸
机械制图13.dwg,机械制图13,机械制图,,,0,CAD机械零件图纸127个/3/机械制图13.dwg,机械CAD图纸
机械制图14.dwg,机械制图14,机械制图,,,0,CAD机械零件图纸127个/3/机械制图14.dwg,机械CAD图纸
机械制图6.dwg,机械制图6,机械制图,,,0,CAD机械零件图纸127个/3/机械制图6.dwg,机械CAD图纸
机械制图7.dwg,机械制图7,机械制图,,,0,CAD机械零件图纸127个/3/机械制图7.dwg,机械CAD图纸
机械制图8.dwg,机械制图8,机械制图,,,0,CAD机械零件图纸127个/3/机械制图8.dwg,机械CAD图纸
机械制图9.dwg,机械制图9,机械制图,,,0,CAD机械零件图纸127个/3/机械制图9.dwg,机械CAD图纸
机械制图15.dwg,机械制图15,机械制图,,,0,CAD机械零件图纸127个/4/机械制图15.dwg,机械CAD图纸
机械制图16.dwg,机械制图16,机械制图,,,0,CAD机械零件图纸127个/4/机械制图16.dwg,机械CAD图纸
机械制图17.dwg,机械制图17,机械制图,,,0,CAD机械零件图纸127个/4/机械制图17.dwg,机械CAD图纸
机械制图18.dwg,机械制图18,机械制图,,,0,CAD机械零件图纸127个/4/机械制图18.dwg,机械CAD图纸
机械制图19.dwg,机械制图19,机械制图,,,0,CAD机械零件图纸127个/4/机械制图19.dwg,机械CAD图纸
机械制图20.dwg,机械制图20,机械制图,,,0,CAD机械零件图纸127个/4/机械制图20.dwg,机械CAD图纸
机械制图21.dwg,机械制图21,机械制图,,,0,CAD机械零件图纸127个/4/机械制图21.dwg,机械CAD图纸
机械制图22.dwg,机械制图22,机械制图,,,0,CAD机械零件图纸127个/4/机械制图22.dwg,机械CAD图纸
机械制图23.dwg,机械制图23,机械制图,,,0,CAD机械零件图纸127个/4/机械制图23.dwg,机械CAD图纸
机械制图24.dwg,机械制图24,机械制图,,,0,CAD机械零件图纸127个/4/机械制图24.dwg,机械CAD图纸
机械制图25.dwg,机械制图25,机械制图,,,0,CAD机械零件图纸127个/5/机械制图25.dwg,机械CAD图纸
机械制图26.dwg,机械制图26,机械制图,,,0,CAD机械零件图纸127个/5/机械制图26.dwg,机械CAD图纸
机械制图27.dwg,机械制图27,机械制图,,,0,CAD机械零件图纸127个/5/机械制图27.dwg,机械CAD图纸
机械制图28.dwg,机械制图28,机械制图,,,0,CAD机械零件图纸127个/5/机械制图28.dwg,机械CAD图纸
机械制图29.dwg,机械制图29,机械制图,,,0,CAD机械零件图纸127个/5/机械制图29.dwg,机械CAD图纸
机械制图30.dwg,机械制图30,机械制图,,,0,CAD机械零件图纸127个/5/机械制图30.dwg,机械CAD图纸
机械制图31.dwg,机械制图31,机械制图,,,0,CAD机械零件图纸127个/5/机械制图31.dwg,机械CAD图纸
机械制图32.dwg,机械制图32,机械制图,,,0,CAD机械零件图纸127个/5/机械制图32.dwg,机械CAD图纸
机械制图33.dwg,机械制图33,机械制图,,,0,CAD机械零件图纸127个/5/机械制图33.dwg,机械CAD图纸
机械制图34.dwg,机械制图34,机械制图,,,0,CAD机械零件图纸127个/5/机械制图34.dwg,机械CAD图纸
机械制图35.dwg,机械制图35,机械制图,,,0,CAD机械零件图纸127个/8/机械制图35.dwg,机械CAD图纸
机械制图36.dwg,机械制图36,机械制图,,,0,CAD机械零件图纸127个/8/机械制图36.dwg,机械CAD图纸
机械制图37.dwg,机械制图37,机械制图,,,0,CAD机械零件图纸127个/8/机械制图37.dwg,机械CAD图纸
机械制图38.dwg,机械制图38,机械制图,,,0,CAD机械零件图纸127个/8/机械制图38.dwg,机械CAD图纸
机械制图39.dwg,机械制图39,机械制图,,,0,CAD机械零件图纸127个/8/机械制图39.dwg,机械CAD图纸
机械制图40.dwg,机械制图40,机械制图,,,0,CAD机械零件图纸127个/8/机械制图40.dwg,机械CAD图纸
机械制图41.dwg,机械制图41,机械制图,,,0,CAD机械零件图纸127个/8/机械制图41.dwg,机械CAD图纸
机械制图42.dwg,机械制图42,机械制图,,,0,CAD机械零件图纸127个/9/机械制图42.dwg,机械CAD图纸
机械制图43.dwg,机械制图43,机械制图,,,0,CAD机械零件图纸127个/9/机械制图43.dwg,机械CAD图纸
机械制图44.dwg,机械制图44,机械制图,,,0,CAD机械零件图纸127个/9/机械制图44.dwg,机械CAD图纸
机械制图45.dwg,机械制图45,机械制图,,,0,CAD机械零件图纸127个/9/机械制图45.dwg,机械CAD图纸
机械制图46.dwg,机械制图46,机械制图,,,0,CAD机械零件图纸127个/9/机械制图46.dwg,机械CAD图纸
机械制图47.dwg,机械制图47,机械制图,,,0,CAD机械零件图纸127个/9/机械制图47.dwg,机械CAD图纸
机械制图48.dwg,机械制图48,机械制图,,,0,CAD机械零件图纸127个/9/机械制图48.dwg,机械CAD图纸
轴的标注-1.dwg,轴的标注-1,轴的标注,,,0,CAD轴承/轴的标注-1.dwg,机械CAD图纸
轴的标注-2.dwg,轴的标注-2,轴的标注,,,0,CAD轴承/轴的标注-2.dwg,机械CAD图纸
A0模板.dwg,A0模板,模板,,A0,0,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/A0模板.dwg",机械CAD图纸
A1模板.dwg,A1模板,模板,,A1,0,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/A1模板.dwg",机械CAD图纸
A2模板.dwg,A2模板,模板,,A2,0,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/A2模板.dwg",机械CAD图纸
A3模板.dwg,A3模板,模板,,A3,0,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/A3模板.dwg",机械CAD图纸
A4模板.dwg,A4模板,模板,,A4,0,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/A4模板.dwg",机械CAD图纸
粗糙度1.dwg,粗糙度1,粗糙度,,,0,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/粗糙度1.dwg",机械CAD图纸
粗糙度2.dwg,粗糙度2,粗糙度,,,0,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/粗糙度2.dwg",机械CAD图纸
底板.dwg,底板,底板,,,0,复杂产品出图/图纸/底板.dwg,机械CAD图纸
4后桥装配 - 副本.dwg,4后桥装配 - 副本,后桥装配,,4,0,夹具图纸、装配图纸/4后桥装配 - 副本.dwg,机械CAD图纸
4后桥装配.dwg,4后桥装配,后桥装配,,4,0,夹具图纸、装配图纸/4后桥装配.dwg,机械CAD图纸
圆柱滚子轴承.dwg,圆柱滚子轴承,圆柱滚子轴承,,,0,夹具图纸、装配图纸/圆柱滚子轴承.dwg,机械CAD图纸
圆柱滚子轴承2008.dwg,圆柱滚子轴承2008,圆柱滚子轴承,,,0,夹具图纸、装配图纸/圆柱滚子轴承2008.dwg,机械CAD图纸
站架三视图 - 副本.dwg,站架三视图 - 副本,站架三视图,,,0,夹具图纸、装配图纸/站架三视图 - 副本.dwg,机械CAD图纸
站架三视图.dwg,站架三视图,站架三视图,,,0,夹具图纸、装配图纸/站架三视图.dwg,机械CAD图纸
