term,count,files
数量,13,FU200-02-13-01.DWG | GB27-88.DWG | JDA00000.DWG | JDE00000.DWG | JDF00000.DWG | PE2540.0.dwg | ZHITUI.DWG
头数,12,31001-1.dwg | 31001-2.dwg | 61001.dwg
纸垫,12,31001-2.dwg | 61001.dwg
序号,12,FU200-02-13-01.DWG | JDA00000.DWG | JDE00000.DWG | JDF00000.DWG | PE2540.0.dwg | ZHITUI.DWG
修改,12,JDA00000.DWG | JDE00000.DWG | JDF00000.DWG | ZHITUI.DWG
曜蓟,12,JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDF00000.DWG | ZHITUI.DWG
阶段,12,JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDF00000.DWG | ZHITUI.DWG
检图,11,31001-1.dwg | 31001-2.dwg | 61001.dwg
型号,11,31001-1.dwg | 31001-2.dwg | 61001.dwg
螺旋方向,11,31001-1.dwg | 31001-2.dwg | 61001.dwg
其余,11,FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-06.DWG | FU200-02-13-01.DWG | JDA00000.DWG | JDE00000.DWG | ZHITUI.DWG
齿轮,10,31001-1.dwg | JDB00000.DWG | JDD00000.DWG
制图,10,31001-1.dwg | 31001-2.dwg | 5.dwg | 61001.dwg | GB27-88.DWG | PE2540.0.dwg
轴承盖,10,JDB00000.DWG | JDF00000.DWG | PE2540.0.dwg
年月日,10,JDA00000.DWG | JDE00000.DWG | JDF00000.DWG | ZHITUI.DWG
单件,10,JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDE00000.DWG | JDF00000.DWG | ZHITUI.DWG
总计,10,JDA00000.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | JDE00000.DWG | JDF00000.DWG | ZHITUI.DWG
无图,10,JDE00000.DWG
螺旋角,9,31001-1.dwg | 31001-2.dwg | 61001.dwg
分度圆直径,9,31001-1.dwg | 31001-2.dwg | 61001.dwg
描图,8,31001-1.dwg | 31001-2.dwg | 5.dwg | 61001.dwg | GB27-88.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG
齿形公差,8,31001-1.dwg | 31001-2.dwg | 61001.dwg
聚氯乙烯透明软管内径,8,31001-2.dwg
标准件,8,PE2540.0.dwg
轴套,8,JDB00000.DWG | PE2540.0.dwg
螺钉,8,JDB00000.DWG | JDC00000.DWG | JDD00000.DWG | PE2540.0.dwg
单重,8,FU200-02-13-01.DWG | PE2540.0.dwg
总重,8,FU200-02-13-01.DWG | PE2540.0.dwg
均布,8,FU200-02-01-1.DWG | FU200-02-01-2.DWG
轴承座,8,FU200-02-01-2.DWG | JDB00000.DWG | JDF00000.DWG
标准,8,JDA00000.DWG | JDE00000.DWG
弧衬板,8,JDB00000.DWG | JDC00000.DWG
蜗杆类型,7,31001-1.dwg | 31001-2.dwg | 61001.dwg
模数,7,31001-1.dwg | 31001-2.dwg | 61001.dwg
压力角,7,31001-1.dwg | 31001-2.dwg | 61001.dwg
中心距,7,31001-1.dwg | 31001-2.dwg | 61001.dwg
立柱装配图,6,31001-1.dwg | 31001-2.dwg
数控滚齿机,6,31001-1.dwg | 31001-2.dwg | 61001.dwg
相配蜗杆,6,31001-1.dwg | 31001-2.dwg | 61001.dwg
公差组,6,31001-1.dwg | 31001-2.dwg
检验项目,6,31001-1.dwg | 31001-2.dwg
公差值,6,31001-1.dwg | 31001-2.dwg
相配蜗轮,6,31001-1.dwg | 31001-2.dwg
导程,6,31001-1.dwg | 31001-2.dwg
接液压,6,61001.dwg
挡圈,6,JDB00000.DWG | JDF00000.DWG | PE2540.0.dwg
工业用纸,6,PE2540.0.dwg
夹渣等缺陷,6,FU200-02-01-1.DWG | FU200-02-01-2.DWG | FU200-02-06.DWG
角钢,6,FU200-02-13-01.DWG | JDE00000.DWG
阶段标记,6,JDA00000.DWG | JDE00000.DWG
搅拌叶片,6,JDB00000.DWG
浮封环,6,JDB00000.DWG
管卡,6,JDC00000.DWG
螺旋线方向,5,31001-1.dwg | 31001-2.dwg | 61001.dwg
轴向齿距极限偏差,5,31001-1.dwg | 31001-2.dwg | 61001.dwg
节径,5,31001-1.dwg | 31001-2.dwg | 61001.dwg
法向齿形角,5,31001-1.dwg | 31001-2.dwg | 61001.dwg
法向侧隙,5,31001-1.dwg | 31001-2.dwg | 61001.dwg
审定,5,GB27-88.DWG | PE2540.0.dwg
来自液压,4,31001-1.dwg
去刀架,4,31001-1.dwg
表示重复尺寸,4,31001-1.dwg | 61001.dwg
相配齿轮,4,31001-1.dwg | 31001-2.dwg
法向模数,4,31001-1.dwg | 31001-2.dwg
变位系数,4,31001-1.dwg | 31001-2.dwg
齿形有效工作长度,4,31001-1.dwg | 31001-2.dwg
两轴,4,31001-2.dwg
旋转,4,61001.dwg
来自小立柱,4,61001.dwg
复摆颚式破碎机,4,PE2540.0.dwg
标准审查,4,PE2540.0.dwg
工艺审查,4,PE2540.0.dwg
区段,4,PE2540.0.dwg
技术规格,4,PE2540.0.dwg
给料口尺寸,4,PE2540.0.dwg
出料口调节范围,4,PE2540.0.dwg
产量,4,PE2540.0.dwg
出料口辚,4,PE2540.0.dwg
主轴转速,4,PE2540.0.dwg
最大给料粒度,4,PE2540.0.dwg
外形尺寸,4,PE2540.0.dwg
电机型号,4,PE2540.0.dwg
转速,4,PE2540.0.dwg
功率,4,PE2540.0.dwg
不包括电动机,4,PE2540.0.dwg
附件及备件,4,PE2540.0.dwg
主轴偏心距,4,PE2540.0.dwg
焊接件,4,PE2540.0.dwg
压板,4,PE2540.0.dwg
压盖,4,FU200-02-01-1.DWG | PE2540.0.dwg
挡板,4,JDD00000.DWG | PE2540.0.dwg
双列向心球面滚子轴承,4,PE2540.0.dwg
飞轮,4,PE2540.0.dwg
装配后,4,PE2540.0.dwg
铸件需经时效处理,4,FU200-02-01-1.DWG | FU200-02-01-2.DWG
未注倒角,4,FU200-02-01-1.DWG | FU200-02-01-2.DWG
去除毛刺,4,FU200-02-06.DWG | FU200-02-13-01.DWG
下料,4,FU200-02-13-01.DWG
描校,4,GB27-88.DWG | JDB00000.DWG | JDC00000.DWG | JDD00000.DWG
支腿,4,JDA00000.DWG | ZHITUI.DWG
止动垫,4,JDB00000.DWG
转环毂,4,JDB00000.DWG
定环毂,4,JDB00000.DWG
右搅拌臂,4,JDB00000.DWG
左搅拌臂,4,JDB00000.DWG
侧搅拌臂,4,JDB00000.DWG
轴承,4,JDB00000.DWG | JDF00000.DWG
搅拌轴中心线,4,JDE00000.DWG
毡圈,4,JDF00000.DWG
羊毛毡,4,JDF00000.DWG
旋转编码器,3,31001-1.dwg | 61001.dwg
针刺机,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
工艺检查,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
检查,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
青岛宏大纺织机械有限责任,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
部件名称,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
嘉力宝机械,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
绘图,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
校描,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
刘飞,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
蜗杆头数,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
轴面模数,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
直径系数,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
轴面齿形角,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
螺旋线升角,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
轴向齿距累积公差,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
阿基米德,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
端面模数,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
相配蜗杆类型,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
齿距累积公差,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
齿距极限偏差,3,31001-1.dwg | 31001-2.dwg | 61001.dwg
底图存放,3,JDB00000.DWG | JDC00000.DWG | JDD00000.DWG
机床带差动机构,2,31001-1.dwg
机床不带差动机构时,2,31001-1.dwg
按图装上,2,31001-1.dwg
相啮合齿轮齿端应对齐,2,31001-1.dwg
错位不许超过,2,31001-1.dwg
根据装配要求,2,31001-1.dwg
在件,2,31001-1.dwg
上钻油孔,2,31001-1.dwg
相啮合的伞齿轮,2,31001-1.dwg
其侧隙应保证在,2,31001-1.dwg
范围,2,31001-1.dwg
蜗杆蜗轮副,2,31001-1.dwg
应保证其接触面,2,31001-1.dwg
按不可调,2,31001-1.dwg
的精度要求,2,31001-1.dwg
伞齿轮,2,31001-1.dwg
应转动灵活,2,31001-1.dwg
但不能有轴向窜动,2,31001-1.dwg
处旋转编码器及相关件根据,2,31001-1.dwg
订货要求安装,2,31001-1.dwg
立柱底面,2,31001-1.dwg
弹性联轴器,2,31001-1.dwg
钢丝编织胶管内径,2,31001-1.dwg
去刀架夹紧油缸,2,31001-1.dwg
夹布输油胶管内径,2,31001-1.dwg
来油,2,31001-1.dwg
去分油器,2,31001-1.dwg
尼龙管,2,31001-1.dwg
来自,2,31001-1.dwg
紫铜澣,2,31001-1.dwg
润滑示意图,2,31001-1.dwg
刀架,2,31001-1.dwg
公法线平均长度,2,31001-1.dwg | 31001-2.dwg
及其上下偏差,2,31001-1.dwg | 31001-2.dwg
齿形,2,31001-1.dwg | 31001-2.dwg
延长渐开线,2,31001-1.dwg | 31001-2.dwg
基本齿廓,2,31001-1.dwg | 31001-2.dwg
轴向模数,2,31001-1.dwg | 31001-2.dwg
分度圆柱导程角,2,31001-1.dwg | 31001-2.dwg
轴向齿距,2,31001-1.dwg | 31001-2.dwg
螺旋线公差,2,31001-1.dwg | 31001-2.dwg
公法线平均长度及其上下偏,2,31001-1.dwg | 31001-2.dwg
齿形角,2,31001-1.dwg | 31001-2.dwg
导程角,2,31001-1.dwg | 31001-2.dwg
齿顶高系数,2,31001-1.dwg | 31001-2.dwg
法向齿厚,2,31001-1.dwg | 31001-2.dwg
接触斑点,2,31001-1.dwg | 31001-2.dwg
齿高,2,31001-1.dwg | 31001-2.dwg
齿长,2,31001-1.dwg | 31001-2.dwg
铁丝,2,31001-2.dwg
电机,2,31001-2.dwg
采用松下伺服电机的装配图,2,31001-2.dwg
采用西门子伺服电机的装配,2,31001-2.dwg
滚齿机,2,31001-2.dwg
镀锌铁丝,2,31001-2.dwg
组通用,2,31001-2.dwg
工作台装配图,2,61001.dwg
工作台与定心锥套及圆环支,2,61001.dwg
撑面配刮时,2,61001.dwg
面积内不少,2,61001.dwg
分度蜗轮副,2,61001.dwg
啮合应平稳,2,61001.dwg
其侧隙允,2,61001.dwg
齿接触面积沿齿嶗,2,61001.dwg
分度蜗杆的轴向跳动允差隊,2,61001.dwg
径向跳动允差隊,2,61001.dwg
工作台壳体与床身导轨配刮,2,61001.dwg
面积内不少点,2,61001.dwg
滚珠丝杆轴心线与导轨的平,2,61001.dwg
行度允差辏,2,61001.dwg
蜗轮副对,2,61001.dwg
侧鸴,2,61001.dwg
齿接触面积沿齿嶕,2,61001.dwg
剖面中,2,61001.dwg
装箱时装,2,61001.dwg
装配定位时要注意方位,2,61001.dwg
符合装配图要求,2,61001.dwg
青壳纸垫,2,61001.dwg
透明赛璐珞,2,61001.dwg
中心,2,61001.dwg
青壳纸,2,61001.dwg
靠工作台一端螺孔不准钻穿,2,61001.dwg
透明透明赛璐珞,2,61001.dwg
安装图,2,PE2540.0.dwg
三角带,2,PE2540.0.dwg
给料箱,2,PE2540.0.dwg
小皮带轮,2,PE2540.0.dwg
止推环,2,PE2540.0.dwg
挡灰板,2,PE2540.0.dwg
驱动皮带轮,2,PE2540.0.dwg
吊环螺钉,2,PE2540.0.dwg
弹簧,2,PE2540.0.dwg
托盘,2,PE2540.0.dwg
拉杆,2,PE2540.0.dwg
夹布橡胶,2,PE2540.0.dwg
肘板座,2,PE2540.0.dwg
压紧螺栓,2,PE2540.0.dwg
衬铁,2,PE2540.0.dwg
肘板,2,PE2540.0.dwg
铆钉,2,PE2540.0.dwg
通用件,2,PE2540.0.dwg
活动齿板,2,PE2540.0.dwg
产品标牌,2,PE2540.0.dwg
固定齿板,2,PE2540.0.dwg
右边护板,2,PE2540.0.dwg
左边护板,2,PE2540.0.dwg
皮带轮,2,PE2540.0.dwg
油杯,2,PE2540.0.dwg
机架,2,PE2540.0.dwg
螺塞,2,PE2540.0.dwg
动颚,2,PE2540.0.dwg
偏心轴,2,PE2540.0.dwg
安装机架及动颚的端盖时采,2,PE2540.0.dwg
用纸垫的多少或厚薄,2,PE2540.0.dwg
应视实测情况而确定,2,PE2540.0.dwg
以刚好压住轴承外圈为佳,2,PE2540.0.dwg
左侧机架轴承外盖例外,2,PE2540.0.dwg
轴承装配后注入容空,2,PE2540.0.dwg
左右的润滑脂,2,PE2540.0.dwg
应能均匀轻快,2,PE2540.0.dwg
灵活地回转,2,PE2540.0.dwg
固定颚板与机架前壁支承面,2,PE2540.0.dwg
活动颚板与动颚支承面之间,2,PE2540.0.dwg
接触应均匀,2,PE2540.0.dwg
肘板与肘板垫接触应均匀,2,PE2540.0.dwg
飞轮与槽轮的端面对轴心线,2,PE2540.0.dwg
机器进行空载试车,2,PE2540.0.dwg
连续运转时间不少小时,2,PE2540.0.dwg
轴承温度不应超熥,2,PE2540.0.dwg
皮带轮运转平稳,2,PE2540.0.dwg
机器各部连接牢固,2,PE2540.0.dwg
无不正常的噪声,2,PE2540.0.dwg
无松动现象,2,PE2540.0.dwg
噪声,2,PE2540.0.dwg
分别焊在动颚及肘板座两端,2,PE2540.0.dwg
详见零件图,2,PE2540.0.dwg
安装厢,2,PE2540.0.dwg
确保,2,PE2540.0.dwg
缺口,2,PE2540.0.dwg
与油槽对正,2,PE2540.0.dwg
总图,2,PE2540.0.dwg
不焊,2,PE2540.0.dwg
孔深,2,FU200-02-01-2.DWG
铸造圆角,2,FU200-02-01-2.DWG
托轮轴压板,2,FU200-02-05.DWG
全部倒角,2,FU200-02-05.DWG
带座轴承板,2,FU200-02-06.DWG
视孔架,2,FU200-02-13-01.DWG
复合件,2,FU200-02-13-01.DWG
焊渣,2,FU200-02-13-01.DWG
校平,2,FU200-02-13-01.DWG
法兰焊好后,2,FU200-02-13-01.DWG
进行孔,2,FU200-02-13-01.DWG
加工,2,FU200-02-13-01.DWG
件端部放大,2,FU200-02-13-01.DWG
上壳,2,JDA00000.DWG
下壳,2,JDA00000.DWG
插班,2,JDA00000.DWG
齿轮罩,2,JDA00000.DWG
搅拌叶片布置示意图,2,JDB00000.DWG
搅拌轴,2,JDB00000.DWG
右侧叶片,2,JDB00000.DWG
左侧叶片,2,JDB00000.DWG
轴端挡圈,2,JDB00000.DWG
定位销,2,JDB00000.DWG
挡环,2,JDB00000.DWG
垫板,2,JDB00000.DWG
刮板,2,JDB00000.DWG
韶关粉末冶金厂,2,JDB00000.DWG
普通型,2,JDB00000.DWG
装配各零件均应清洗干净,2,JDB00000.DWG
尤其是,2,JDB00000.DWG
之间的接触面应保,2,JDB00000.DWG
持清洁,2,JDB00000.DWG
各润滑处应注满润滑脂,2,JDB00000.DWG
接触面的工作压力隊,2,JDB00000.DWG
是通过,2,JDB00000.DWG
之间,2,JDB00000.DWG
左右的间隙来实现,2,JDB00000.DWG
轴端各件装好后先检查,2,JDB00000.DWG
端面间隙应控制在,2,JDB00000.DWG
而后装,2,JDB00000.DWG
搅拌叶片与弧衬板配间鹒,2,JDB00000.DWG
侧叶片与端衬板装配间鸻,2,JDB00000.DWG
装配时必须使搅拌叶片侧叶,2,JDB00000.DWG
片符合图示的相对位置,2,JDB00000.DWG
各搅搅拌臂间间鹒,2,JDB00000.DWG
装配后应转动搅拌轴检察转,2,JDB00000.DWG
动及间隙情况,2,JDB00000.DWG
各连接螺栓必须拧紧,2,JDB00000.DWG
各叶片与搅拌臂,2,JDB00000.DWG
搅拌臂与联接套联接螺栓拧,2,JDB00000.DWG
紧力矩分别,2,JDB00000.DWG
试运转半小时,2,JDB00000.DWG
应运转平稳,2,JDB00000.DWG
无撞击卡死过热现象,2,JDB00000.DWG
新机所有连接螺栓在运转一,2,JDB00000.DWG
个班次后,2,JDB00000.DWG
必须重新紧固一次,2,JDB00000.DWG
开式齿轮安装时用钙基润滑,2,JDB00000.DWG
油或齿轮油润滑,2,JDB00000.DWG
齿轮传动侧鸴,2,JDB00000.DWG
触斑点按高度不小,2,JDB00000.DWG
按长度不小,2,JDB00000.DWG
安装时,2,JDB00000.DWG
的切口方向应与,2,JDB00000.DWG
的油口方向一致,2,JDB00000.DWG
型密封圈,2,JDB00000.DWG
油封,2,JDB00000.DWG
搅拌装置,2,JDB00000.DWG
接机动浓油泵,2,JDB00000.DWG
接油嘴,2,JDB00000.DWG
向旋转,2,JDB00000.DWG
搅拌罐,2,JDC00000.DWG
密封条,2,JDC00000.DWG
指向标牌,2,JDC00000.DWG
铝板,2,JDC00000.DWG
搅拌筒,2,JDC00000.DWG
油管分布中心,2,JDC00000.DWG
油管布置示意图,2,JDC00000.DWG
油管布置最小弯曲半径,2,JDC00000.DWG
山东省建筑机械厂,2,JDC00000.DWG | JDD00000.DWG
支架,2,JDD00000.DWG
摆线针轮减速机,2,JDD00000.DWG
传动装置,2,JDD00000.DWG
开式齿轮传动侧隙,2,JDD00000.DWG
接触斑点不小于赤高,2,JDD00000.DWG
不小于齿宽,2,JDD00000.DWG
各螺拴等必须拧紧,2,JDD00000.DWG
开式齿轮传动用钙基润滑脂,2,JDD00000.DWG
或沥青质开式齿轮油润滑,2,JDD00000.DWG
泰兴减速机厂,2,JDD00000.DWG
罐体中心线,2,JDE00000.DWG
底盘,2,JDE00000.DWG
此底盘仅为主机底盘,2,JDE00000.DWG
整个搅拌机底盘,2,JDE00000.DWG
应按照原来宽度与长度确定,2,JDE00000.DWG
电机底板位置,2,JDE00000.DWG
角钢框,2,JDE00000.DWG
卸料门,2,JDF00000.DWG
垫片,2,JDF00000.DWG
长轴,2,JDF00000.DWG
料门,2,JDF00000.DWG
短轴,2,JDF00000.DWG
闷盖,2,JDF00000.DWG
卸料门安装时,2,JDF00000.DWG
可增减垫,2,JDF00000.DWG
同是门能转动灵活,2,JDF00000.DWG
并使门与密封条接触一致,2,JDF00000.DWG
轴承用润滑油润滑,2,JDF00000.DWG
安装时保证轴承一定的轴向,2,JDF00000.DWG
间隙,2,JDF00000.DWG
装配,2,JDF00000.DWG
时只允许,2,JDF00000.DWG
单独受力,2,JDF00000.DWG
旧底图号,2,JDF00000.DWG | ZHITUI.DWG
行程,1,31001-1.dwg
钻孔,1,31001-2.dwg
清华大学机械厂,1,5.dwg
拨叉,1,5.dwg
件数,1,5.dwg
仿宋,1,5.dwg
弹性连轴器,1,61001.dwg
铰制螺栓,1,GB27-88.DWG
责任,1,GB27-88.DWG
旧底图总号,1,GB27-88.DWG
底图总号,1,GB27-88.DWG
忽平,1,JDF00000.DWG
