file_name,source_path,relative_path,source_dir,suggested_label_cn,suggested_label_en,text_sample,normalized_text_sample,title_block_drawing_number,title_block_part_name,title_block_material,title_block_scale,title_block_sheet,title_block_date,title_block_weight,title_block_company,title_block_projection,title_block_revision,review_drawing_number,review_part_name,review_material,review_scale,review_sheet,review_date,review_weight,review_company,review_projection,review_revision,dimensions_count,dimensions_sample,layers_count,hatches_count,reviewer_label_cn,reviewer_label_en,review_status,review_notes,preview_path
52001组合刀架装配图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/52001组合刀架装配图.dxf,52001组合刀架装配图.dwg,机械零件CAD图纸,装配图,,\M+5C9E8\M+5BCC6\M+5D4B1 | \M+5BCEC  \M+5CDBC | \M+5D6F7\M+5C8CE\M+5C9E8\M+5BCC6\M+5CAA6 | \M+5B1EA\M+5D7BC\M+5BBAF\M+5C9F3\M+5B2E9 | \M+5B2FA\M+5C6B7\M+5B9A4\M+5D2D5\M+5CAA6 | \M+5C8D5  \M+5C6DA |...,\m+5c9e8\m+5bcc6\m+5d4b1 | \m+5bcec  \m+5cdbc | \m+5d6f7\m+5c8ce\m+5c9e8\m+5bcc6\m+5caa6 | \m+5b1ea\m+5d7bc\m+5bbaf\m+5c9f3\m+5b2e9 | \m+5b2fa\m+5c6b7\m+5b9a4\m+5d2d5\m+5caa6 | \m+5c8d5  \m+5c6da |...,,,,,,,,,,,,,,,,,,,,,203,linear:136.00 | linear:35.00 | linear:214.00 | linear:\M+5D7EE\M+5B4F3<> | linear:11.00,9,225,装配图,,confirmed,manual_priority_decision; manual_priority_pack_30,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/52001组合刀架装配图.png
GB27-88.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/GB27-88.dxf,GB27-88.DWG,机械零件CAD图纸,紧固件,,,,,,,,,,,,,,,,,,,,,,,,0,,7,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=标准件-紧固件(六角螺母),reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/GB27-88.png
机械制图69.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图69.dxf,CAD机械零件图纸127个/13/机械制图69.dwg,机械CAD图纸,机械制图,,\M+5CDBC\M+5D1F9\M+5B1EA\M+5BCC7 | \M+5B9B2  \M+5D5C5  \M+5B5DA   \M+5D5C5 | QBG421 \M+5C9CF\M+5D6F7\M+5B4CC\M+5BBFA | \M+5B1EA\M+5BCC7 | \M+5B8FC\M+5B8C4\M+5C4DA\M+5C8DD\M+5BBF2\M+5D2C0\M+5BEDD |...,\m+5cdbc\m+5d1f9\m+5b1ea\m+5bcc7 | \m+5b9b2  \m+5d5c5  \m+5b5da   \m+5d5c5 | qbg421 \m+5c9cf\m+5d6f7\m+5b4cc\m+5bbfa | \m+5b1ea\m+5bcc7 | \m+5b8fc\m+5b8c4\m+5c4da\m+5c8dd\m+5bbf2\m+5d2c0\m+5bedd |...,,,,,,,,,,,,,,,,,,,,,11,radial:<>H8 | linear:<>js9 | linear:\A1;<>{\H0.7x;\S0^ -0.36;} | linear:2.00 | radial:16.90,8,1,,,pending,,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/机械制图69.png
站架三视图 - 副本.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/站架三视图 - 副本.dxf,夹具图纸、装配图纸/站架三视图 - 副本.dwg,机械CAD图纸,站架三视图,,站架 | 共   张      第   张 | 比 例 | 重 量 | 阶段标记 | 批 准 | 标准化 | 工 艺 | 审 核 | 设 计 | 年.月.日 | 签 名 | 分 区 | 更改文件号 | 处数 | 标记 | 特性 | 借用件标记 | 媒体编号 | 签  字 | 日  期 | C | B | A | C | B | D | A | 1 | 2 | 3 | 4 | 1 | 2 |...,站架 | 共   张      第   张 | 比 例 | 重 量 | 阶段标记 | 批 准 | 标准化 | 工 艺 | 审 核 | 设 计 | 年.月.日 | 签 名 | 分 区 | 更改文件号 | 处数 | 标记 | 特性 | 借用件标记 | 媒体编号 | 签  字 | 日  期 | c | b | a | c | b | d | a | 1 | 2 | 3 | 4 | 1 | 2 |...,,,科学与工程学院,,,,,,,,,,,,,,,,,,22,linear:210 | linear:240 | linear:75.00 | radial:20.00 | radial:12.00,6,0,机械制图,,confirmed,manual_priority_decision; manual_priority_pack_30,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/站架三视图 - 副本.png
零件二.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件二.dxf,CAD图纸抄画/已完成/零件二.dwg,机械CAD图纸,零件二,,,,,,,,,,,,,,,,,,,,,,,,42,linear:250.00 | linear:145.00 | linear:25.00 | linear:30.00 | linear:11.00,22,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=教学零件,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/零件二.png
44002液压系统管路图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/44002液压系统管路图.dxf,44002液压系统管路图.dwg,机械零件CAD图纸,管类,,"P    \M+5CFF2 | P | 3 | 9 | 8 | 3 | 7 | 9 | 7 | 6 | 3 | 9 | 8 | 6 | 7 | 9 | 8 | 7 | 3 | 6 | 9 | 1 | 4 | 5 | 2 | 6 G72-3A | M8*25 J21-9A | 4-Z 1#8"" G92-1A | 22.4*2.65 G51-2A | 44303 | 8 Y91-1B | 8-Z...","p    \m+5cff2 | p | 3 | 9 | 8 | 3 | 7 | 9 | 7 | 6 | 3 | 9 | 8 | 6 | 7 | 9 | 8 | 7 | 3 | 6 | 9 | 1 | 4 | 5 | 2 | 6 g72-3a | m8*25 j21-9a | 4-z 1#8"" g92-1a | 22.4*2.65 g51-2a | 44303 | 8 y91-1b | 8-z...",,,,,,,,,,,,,,,,,,,,,145,linear:180.00 | linear:160.00 | linear:285 | linear:30 | linear:84,9,109,机械制图,,confirmed,manual_priority_decision; manual_priority_pack_30,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/44002液压系统管路图.png
2-7机械制图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/2-7机械制图.dxf,CAD机械零件图纸127个/2/2-7机械制图.dwg,机械CAD图纸,机械制图,,1 | 4 | 2 | 3,1 | 4 | 2 | 3,,,,,,,,,,,,,,,,,,,,,11,linear:29.12 | linear:88.68 | radial:3.00 | radial:6.54 | linear:5.06,6,0,,,pending,,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/2-7机械制图.png
机械制图36.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图36.dxf,CAD机械零件图纸127个/8/机械制图36.dwg,机械CAD图纸,机械制图,,38 | 17 | 30\M+5A1E3,38 | 17 | 30\m+5a1e3,,,,,,,,,,,,,,,,,,,,,12,linear:110.15 | radial:6.98 | radial:4.07 | angular:0.28 | angular:0.17,6,0,,,pending,,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/机械制图36.png
FU200-02-05.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/FU200-02-05.dxf,FU200-02-05.DWG,机械零件CAD图纸,轴类,,12.5 | \M+5C9F3   \M+5BACB | \M+5B9A4   \M+5D2D5 | \M+5C8D5   \M+5C6DA | \M+5B5DA       \M+5D5C5 | \M+5B9B2        \M+5D5C5 | 2002.05 | \M+5B8FC\M+5B8C4\M+5CEC4\M+5BCFE\M+5BAC5 | \M+5B4A6\M+5CAFD |...,12.5 | \m+5c9f3   \m+5bacb | \m+5b9a4   \m+5d2d5 | \m+5c8d5   \m+5c6da | \m+5b5da       \m+5d5c5 | \m+5b9b2        \m+5d5c5 | 2002.05 | \m+5b8fc\m+5b8c4\m+5cec4\m+5bcfe\m+5bac5 | \m+5b4a6\m+5cafd |...,,,,,,,,,,,,,,,,,,,,,5,linear:{%%C<>} | linear:{%%C<>} | linear:{%%C<>} | linear:-1.00 | linear:-1.00,5,0,机械制图,,confirmed,manual_priority_decision; manual_priority_pack_30,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/FU200-02-05.png
简化标题栏表格.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/简化标题栏表格.dxf,"国家标准CAD模板(A0,A1,A2,A3,A4)文件及块/简化标题栏表格.dwg",机械CAD图纸,简化标题栏表格,,,,,,,,,,,,,,,,,,,,,,,,0,,4,0,模板,,confirmed,manual_priority_decision; manual_priority_pack_30c; manual_final_category=模板; manual_subcategory=图框模板,reports/experiments/20260120/MECH_4000_DWG_REVIEW_PREVIEWS_20260120/简化标题栏表格.png
三视图练习1.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/三视图练习1.dxf,CAD机械零件图纸127个/15/三视图练习1.dwg,机械CAD图纸,三视图练习,,,,,,,,,,,,,,,,,,,,,,,,9,linear:30.00 | linear:8.00 | linear:22.00 | radial:10.00 | linear:15.00,4,0,,,pending,,
1.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/1.dxf,1.dwg,机械零件CAD图纸,练习零件图,,,,,,,,,,,,,,,,,,,,,,,,9,linear:58.73 | radial:10.94 | radial:7.89 | radial:4.95 | angular:2.06,6,0,,,pending,,
机械制图10.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图10.dxf,CAD机械零件图纸127个/3/机械制图10.dwg,机械CAD图纸,机械制图,,R81 | 85\M+5A1E3,r81 | 85\m+5a1e3,,,,,,,,,,,,,,,,,,,,,19,radial:54.00 | radial:54.00 | linear:13.50 | linear:30.78 | radial:20.52,6,0,,,pending,,
44001液压原理图 070210.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/44001液压原理图 070210.dxf,44001液压原理图 070210.dwg,机械零件CAD图纸,原理图,,\M+5C9E8\M+5BCC6\M+5D4B1 | \M+5BCEC  \M+5CDBC | \M+5D6F7\M+5C8CE\M+5C9E8\M+5BCC6\M+5CAA6 | \M+5B1EA\M+5D7BC\M+5BBAF\M+5C9F3\M+5B2E9 | \M+5B2FA\M+5C6B7\M+5B9A4\M+5D2D5\M+5CAA6 | \M+5C8D5  \M+5C6DA |...,\m+5c9e8\m+5bcc6\m+5d4b1 | \m+5bcec  \m+5cdbc | \m+5d6f7\m+5c8ce\m+5c9e8\m+5bcc6\m+5caa6 | \m+5b1ea\m+5d7bc\m+5bbaf\m+5c9f3\m+5b2e9 | \m+5b2fa\m+5c6b7\m+5b9a4\m+5d2d5\m+5caa6 | \m+5c8d5  \m+5c6da |...,,,,,,,,,,,,,,,,,,,,,0,,15,3,原理图,,confirmed,manual_priority_decision; manual_priority_pack_30c; manual_final_category=原理图; manual_subcategory=液压原理图,
零件六.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件六.dxf,CAD图纸抄画/已完成/零件六.dwg,机械CAD图纸,零件六,,,,,,,,,,,,,,,,,,,,,,,,5,linear:99.43 | linear:129.70 | radial:{4-<>}{}{} | linear:80.41 | linear:59.23,22,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30c; manual_final_category=零件图; manual_subcategory=教学零件,
机械制图55.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图55.dxf,CAD机械零件图纸127个/10/机械制图55.dwg,机械CAD图纸,机械制图,,,,,,,,,,,,,,,,,,,,,,,,26,linear:168.00 | linear:12.00 | linear:154 | linear:12.00 | linear:120.00,17,1,,,pending,,
1-6机械平面图1.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/1-6机械平面图1.dxf,CAD机械零件图纸127个/1/1-6机械平面图1.dwg,机械CAD图纸,机械平面图,,\M+5BBFA\M+5D0B5\M+5C6BD\M+5C3E6\M+5CDBC1,\m+5bbfa\m+5d0b5\m+5c6bd\m+5c3e6\m+5cdbc1,,,,,,,,,,,,,,,,,,,,,6,linear:%%c100 | angular:1.05 | radial:3-%%c10 | radial:40.00 | radial:80.00,4,0,,,pending,,
三视图.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/三视图.dxf,CAD机械零件图纸127个/14/三视图.dwg,机械CAD图纸,三视图,,,,,,,,,,,,,,,,,,,,,,,,9,linear:20.00 | radial:10.00 | linear:%%c12 | linear:10.00 | linear:8.00,2,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=零件图; manual_subcategory=教学零件(三视图),
零件一.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/零件一.dxf,CAD图纸抄画/已完成/零件一.dwg,机械CAD图纸,零件一,,,,,,,,,,,,,,,,,,,,,,,,39,linear:250.00 | linear:250.00 | linear:150 | linear:11.00 | linear:11.00,22,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30d; manual_final_category=零件图; manual_subcategory=教学零件,
2.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/2.dxf,2.dwg,机械零件CAD图纸,练习零件图,,,,,,,,,,,,,,,,,,,,,,,,10,radial:9.37 | radial:16.93 | radial:3.63 | radial:9.07 | radial:10.28,6,0,,,pending,,
Part3_catpart_1 - 副本.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/Part3_catpart_1 - 副本.dxf,夹具图纸、装配图纸/Part3_catpart_1 - 副本.dwg,机械CAD图纸,副本,,,,,,,,,,,,,,,,,,,,,,,,0,,3,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_30c; manual_final_category=零件图; manual_subcategory=CATIA导出件; manual_drop_duplicate,
机械制图15.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图15.dxf,CAD机械零件图纸127个/4/机械制图15.dwg,机械CAD图纸,机械制图,,,,,,,,,,,,,,,,,,,,,,,,23,radial:14.00 | radial:28.00 | linear:45.50 | linear:59.50 | linear:38.50,6,0,,,pending,,
轴承外圈强化研磨上下料系统11-2.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/轴承外圈强化研磨上下料系统11-2.dxf,轴承外圈强化研磨上下料系统11-2.dwg,蜗杆与箱体,轴承,,审核 | 学号 | 比例 | A 1 | 1:2 | 序号 | 图  号 | 名 称 | 数量 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 2 | 4 | 4 | 4 | 4 | 4 | A-A | 28 | 27 | 25 | 24 | 23 | 22 | 21 | 20 | 19 | 18 | 17 | 16 | 35 | 34 | 33 | 32 | 3...,审核 | 学号 | 比例 | a 1 | 1:2 | 序号 | 图  号 | 名 称 | 数量 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 2 | 4 | 4 | 4 | 4 | 4 | a-a | 28 | 27 | 25 | 24 | 23 | 22 | 21 | 20 | 19 | 18 | 17 | 16 | 35 | 34 | 33 | 32 | 3...,,,,,,,,,,,,,,,,,,,,,26,linear:\A1;{\fISOCPEUR|b0|i0|c134|p0;\H0.8571x;%%C}20{\H0.7x;\Sh7/k6;} | linear:\A1;{\fISOCPEUR|b0|i0|c134|p0;%%C22{\H0.7x;\Sh7/r6;}} | linear:\A1;{\fISOCPEUR|b0|i0|c134|p0;%%C}24{\H0.7x;\Sh7/r6;} | linear:\A1;{\fISOCPEUR|b0|i0|c134|p0;%%C}38{\H0.7x;\Sh7/f8;} | linear:\A1;{\fISOCPEUR|b0|i0|c134|p0;\H0.8571x;%%C40\H1.1667x;{\H0.6x;\Sh7/f8;}},37,144,装配图,,confirmed,manual_priority_decision,
机械制图11.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/机械制图11.dxf,CAD机械零件图纸127个/3/机械制图11.dwg,机械CAD图纸,机械制图,,R4,r4,,,,,,,,,,,,,,,,,,,,,17,radial:20.80 | radial:36.00 | angular:0.35 | angular:0.09 | radial:5.60,6,0,,,pending,,
4后桥装配.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/4后桥装配.dxf,夹具图纸、装配图纸/4后桥装配.dwg,机械CAD图纸,后桥装配,,59 | 60 | 61 | 62 | 63 | 64 | 65 | 66 | 67 | 68 | 69 | 70 | 71 | 72 | 73 | 74 | 75 | 76 | 77 | 78 | 79 | 80 | 轮毂 | 2 | 2 | 6 | 6 | 2 | 6 | 6 | 1 | 2 | 4 | 4 | 4 | 1 | 45钢 | 45钢 | GCr4 | 45钢 | HT200...,59 | 60 | 61 | 62 | 63 | 64 | 65 | 66 | 67 | 68 | 69 | 70 | 71 | 72 | 73 | 74 | 75 | 76 | 77 | 78 | 79 | 80 | 轮毂 | 2 | 2 | 6 | 6 | 2 | 6 | 6 | 1 | 2 | 4 | 4 | 4 | 1 | 45钢 | 45钢 | gcr4 | 45钢 | ht200...,,数量,单件,1:2,,,,,,,,,,,,,,,,,8,linear:%%c30k6 | linear:%%c62H7/f8 | linear:%%c30k6 | linear:%%c62H7/f8 | linear:%%c35H7/f7,12,59,装配图,,confirmed,manual_priority_decision,
M10菱形销.dxf,/Users/huazhou/Downloads/4000例CAD及三维机械零件练习图纸/机械CAD图纸_dxf/M10菱形销.dxf,夹具设计/CAD2007/M10菱形销.dwg,机械CAD图纸,紧固件,,,,,,,,,,,,,,,,,,,,,,,,5,radial:{<>}{}{\H0.7143x;\S+0.024^ +0.015;} | linear:7.00 | linear:15.00 | linear:10.00 | linear:{%%c<>}{}{\H0.7143x;\S+0.02^ +0.012;},19,0,零件图,,confirmed,manual_priority_decision; manual_priority_pack_13e; manual_final_category=零件图; manual_subcategory=标准件-销类,
